Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
fakpR@LBcjso@BLdTRbRRttltRQNTXwmUUTsMP@RXaBPJ@@ !BrKtwo_y?pO{~_}^}pOxH@k^}?k}dFza}rOtw?XF?RHK~`L`C_k|H`da}BGtH``	555972		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gC`LADJHtPduP@ !BBOrH?_x@	67839		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gC`LADJHtPduP@ !BBOrH?_x@	67839		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ek`PJ@@@DGBclbfRbfdRbjRbdJvtlBbjZVvZjjjjjjjjjkRbab`PaPcP`HbHaJcJajcX`@ !Bl|_rk{}vl|^?]kOG}YA?wcj_bwaU[qJpEvLjDC~iOzeU{uUoOzftAs~iUV~K^Bk`Ozd?jXmxOzd	343964		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ek`PJ@@@DGBclbfRbfdRbjRbdJvtlBbjZVvZjjjjjjjjjkRbab`PaPcP`HbHaJcJajcX`@ !Bl|_rk{}vl|^?]kOG}YA?wcj_bwaU[qJpEvLjDC~iOzeU{uUoOzftAs~iUV~K^Bk`Ozd?jXmxOzd	343964		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhqXB@J\dZpPAFRIJIJJqIBeUSMMUpHJ` !By~wp[_\r|HKgD~W`rKtG[A?~gAbh[Hbm?`Bh[C_BfIp	1620		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhqXB@J\dZpPAFRIJIJJqIBeUSMMUpHJ` !By~wp[_\r|HKgD~W`rKtG[A?~gAbh[Hbm?`Bh[C_BfIp	1620		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dkmh@DKaePR[eoYaZeij``X !B`U|W`t`}ZIpZoy`Shq\@`^~AK_m_`ZqG	5772		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dkmh@DKaePR[eoYaZeij``X !B`U|W`t`}ZIpZoy`Shq\@`^~AK_m_`ZqG	5772		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ffsPB@KUADILkZrljoQbcQKfl@ETqPTPD@@ !BV`R@MgLxbiBJdGLx@O{Fp@pxlAIGCMg@DPCOs\z@ZNqh{F^lYzpQ@Lz@	191342		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ffsPB@KUADILkZrljoQbcQKfl@ETqPTPD@@ !BV`R@MgLxbiBJdGLx@O{Fp@pxlAIGCMg@DPCOs\z@ZNqh{F^lYzpQ@Lz@	191342		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbePS@BLlENPUdjpuYdTTTRbRfTlxjBHhiif@@@ !B?dAH@c\BrOw~`K]}?d@HPla|MpK~_?_|JOu~POy@UwvH_T`BM?p	675171		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbePS@BLlENPUdjpuYdTTTRbRfTlxjBHhiif@@@ !B?dAH@c\BrOw~`K]}?d@HPla|MpK~_?_|JOu~POy@UwvH_T`BM?p	675171		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fl}AA`D`bBQCHbTQjHMDYEEEIihlXeS`eNCzLTsUUUUUUTKDiAQRmGStb`@ !BGbSE[@jBVyzrHahsWpBT?n{LsC{QIEoQKCdtQYSJfWuLFh[\	1214274		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fl}AA`D`bBQCHbTQjHMDYEEEIihlXeS`eNCzLTsUUUUUUTKDiAQRmGStb`@ !BGbSE[@jBVyzrHahsWpBT?n{LsC{QIEoQKCdtQYSJfWuLFh[\	1214274		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ff}a`@E@IUIf]uYvUv\rVB@jjh@H@@@ !BmpK~`M^}bGsW@c^BMwvwo]_|m{vw_C^}_`Bw`c^}?g~w`k^}u{wW`k^}	84505		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ff}a`@E@IUIf]uYvUv\rVB@jjh@H@@@ !BmpK~`M^}bGsW@c^BMwvwo]_|m{vw_C^}_`Bw`c^}?g~w`k^}u{wW`k^}	84505		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fakqb@@qkpoPQFQQQJHsQHjIQEdg^jvBA`BBiZP`@@ !B]?s~@K_}R@KW@c_|bGw~@G]}b@Hw@ox@BGw~@G^B?`Bw@l`B?`@Ho_x@b@K~@@	1		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fakqb@@qkpoPQFQQQJHsQHjIQEdg^jvBA`BBiZP`@@ !B]?s~@K_}R@KW@c_|bGw~@G]}b@Hw@ox@BGw~@G^B?`Bw@l`B?`@Ho_x@b@K~@@	1		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fdyAP@@BUhNQQQQQQDqIdgAZYjZZjdFh\P@ !Bb@K~@Ha}b@Jw@h`B?g?~@Ha}mww~@Ha}b@JH@oy?bGvH_P	466684		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fdyAP@@BUhNQQQQQQDqIdgAZYjZZjdFh\P@ !Bb@K~@Ha}b@Jw@h`B?g?~@Ha}mww~@Ha}b@JH@oy?bGvH_P	466684		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dg\L`NNpbDfUuijZ@Bjf@@ !BO?z}JKtwOwy??ktwW?y}ZH\CgSQdhi?zan|	29390		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dg\L`NNpbDfUuijZ@Bjf@@ !BO?z}JKtwOwy??ktwW?y}ZH\CgSQdhi?zan|	29390		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ek`\JD@NOBeGLmc`HbhHrJJIQYPjEQQYIQQbQSQHikjBAbZZijjfJl@ddfd@@ !BMQQW`^kTmPnMm@ttRjoG|[KThrNqazN\J}Tjo@o~_rxzqCmzuFh{nd\^\?qYQKt`~qd}CBidnqD	76766		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ek`\JD@NOBeGLmc`HbhHrJJIQYPjEQQYIQQbQSQHikjBAbZZijjfJl@ddfd@@ !BMQQW`^kTmPnMm@ttRjoG|[KThrNqazN\J}Tjo@o~_rxzqCmzuFh{nd\^\?qYQKt`~qd}CBidnqD	76766		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fewAP@@Vkv^QQISQJFKIQJVZcEF|EIVfjjfjjijjXqBaizAbX@ !BK[hCI_{l_ZhCfgx|gYU]foxL_Uk~?Gvejoi}vkvZo\U??owZ?bs~?AlNoksrnbuJxxd	419463		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fewAP@@Vkv^QQISQJFKIQJVZcEF|EIVfjjfjjijjXqBaizAbX@ !BK[hCI_{l_ZhCfgx|gYU]foxL_Uk~?Gvejoi}vkvZo\U??owZ?bs~?AlNoksrnbuJxxd	419463		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dg]DpLEnBHKpNHRUfgUvzjZjj@@ !BzsK~@K_|PTBw?VmRbGw~@Oy?b@JH@nmM?`@	8417		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dg]DpLEnBHKpNHRUfgUvzjZjj@@ !BzsK~@K_|PTBw?VmRbGw~@Oy?b@JH@nmM?`@	8417		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbu@`@@YRYWYeg_hrJX@Ij``H@Py@ !B}svA_}]|}wvO_S^|}?vW_Gz?}ww~@J`C`[~w_C^|}?wwO[]|}st	860		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbu@`@@YRYWYeg_hrJX@Ij``H@Py@ !B}svA_}]|}wvO_S^|}?vW_Gz?}ww~@J`C`[~w_C^|}?wwO[]|}st	860		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fkPR@NCMelpAFRJJJIQQKII[SHq\mKtZtEPATALMUTBDQd@@ !BcOtg\_y{AJH{phuGrvLD{TRMfwW~jL?~Fno~_tQrj{J[djoMD{LGg_xX?a\{to{wj{H{cYPuAxt	1278		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fkPR@NCMelpAFRJJJIQQKII[SHq\mKtZtEPATALMUTBDQd@@ !BcOtg\_y{AJH{phuGrvLD{TRMfwW~jL?~Fno~_tQrj{J[djoMD{LGg_xX?a\{to{wj{H{cYPuAxt	1278		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ehTXJH@GDico`PICHhdlhhhhdmDhcFieJFCGH@HBHfjjjjfABj[RCr@ !B`T@w@bc|?b@A`Bc|p^Bw`kC\?`@WoXE@RCwpOE]BEtIH?Bc|`TAW?S]}wh@poR`}[f|wHc^}@S~wpn^Cwe~wh`	403465	=	0.085	nM	IC50	10.07	0.42	21.91	10.08		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ehTXJH@GDico`PICHhdlhhhhdmDhcFieJFCGH@HBHfjjjjfABj[RCr@ !B`T@w@bc|?b@A`Bc|p^Bw`kC\?`@WoXE@RCwpOE]BEtIH?Bc|`TAW?S]}wh@poR`}[f|wHc^}@S~wpn^Cwe~wh`	403465		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
deTH`IBHrJJJJlLADP@@ !B?g|w?Xc}?g|OOOy?bKqH@?y?	419430		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
deTH`IBHrJJJJlLADP@@ !B?g|w?Xc}?g|OOOy?bKqH@?y?	419430		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
f`~`rBMPQ`dc@|B]jTjmugZZjjjjaq@@ !BqNogwHRtLt\O[VBeE}rDmNx@Czw`YQ_\GNapwXuO	991347		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
f`~`rBMPQ`dc@|B]jTjmugZZjjjjaq@@ !BqNogwHRtLt\O[VBeE}rDmNx@Czw`YQ_\GNapwXuO	991347		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
deTH@@RUYTYY`@@aH !B?g}H?_z?RGw~_x`BbGuH_T`B	81858		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
deTH@@RUYTYY`@@aH !B?g}H?_z?RGw~_x`BbGuH_T`B	81858		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gehLpD@@JEcHTAHjPz}qTcPBCpdjOBThuvOObKFkurJIQQQQSRjYSJZJJZJJJ[QKGJMQQQjJJYZJJJZZFJJIRsJVITZCVgQZmeJmQkUUUUMMMTuMSMTuU@PSUMUTsUUUUSMSQRcABDxKiOdgK\`Lhpr`@ !B?bHraluFLcg~HdvyLh[~W\uFLhYMQoy]eOW~pdvy@W@raluFlh[hgOxbtkdAHcHy?bK~W[JFsTXragy]LhYMn]Hy?lKRNTvy@RHAHmHy]fK~WSJFLh[RaoKZHg{RN]Jy?bHraluFL`[~pmHyS[dAH`@ltke~HcJF?ewRQdvFtcg~HcJF?euMamIF?bHrn]JyS[drn_xb\chvG]IF?ewRQdvF_bKrQRK~_bJxgTvFtdXrnP	442943		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gehLpD@@JEcHTAHjPz}qTcPBCpdjOBThuvOObKFkurJIQQQQSRjYSJZJJZJJJ[QKGJMQQQjJJYZJJJZZFJJIRsJVITZCVgQZmeJmQkUUUUMMMTuMSMTuU@PSUMUTsUUUUSMSQRcABDxKiOdgK\`Lhpr`@ !B?bHraluFLcg~HdvyLh[~W\uFLhYMQoy]eOW~pdvy@W@raluFlh[hgOxbtkdAHcHy?bK~W[JFsTXragy]LhYMn]Hy?lKRNTvy@RHAHmHy]fK~WSJFLh[RaoKZHg{RN]Jy?bHraluFL`[~pmHyS[dAH`@ltke~HcJF?ewRQdvFtcg~HcJF?euMamIF?bHrn]JyS[drn_xb\chvG]IF?ewRQdvF_bKrQRK~_bJxgTvFtdXrnP	442943		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fmo@R@AUFlDadTbdTTTQVLRVtJoZlzJRuUUTsUTtuUB`dKDHeStRbh@ !B?`AH?PF@M?w~Otc|@XAH_M\BM?r~Ota}MwuH?S]}{~UH@n~Z@T@SFOBCpXB?_j`|MzIap@	591037		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fmo@R@AUFlDadTbdTTTQVLRVtJoZlzJRuUUTsUTtuUB`dKDHeStRbh@ !B?`AH?PF@M?w~Otc|@XAH_M\BM?r~Ota}MwuH?S]}{~UH@n~Z@T@SFOBCpXB?_j`|MzIap@	591037		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbmQB@AJRBHRYVyV[WisShy`BFhJAB@@@ !BcxHw@?y@MxHw@l^s?`@_QoqWqpqm|OuwPOx_NZX@?C^B]?OXPGx	721		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbmQB@AJRBHRYVyV[WisShy`BFhJAB@@@ !BcxHw@?y@MxHw@l^s?`@_QoqWqpqm|OuwPOx_NZX@?C^B]?OXPGx	721		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ekxH`@CPNMODimkg`ZYXtu}s|bbdTTTLTbabbVTUfalTRtQfTTRrt`@LB\rbfJNEuK[ZjjjZjjjjif`XJJ`XHjj`tPhpHHhhhdhTHBhrHJHYHUh@@ !BSk]{bP@^T`^wOaFHYl`tmQv{tBdm^Av{xJXY^JaymsyAmyzw|KjBp{ihZ\cBQJYWP[\xcRFw~JUHb_OSjGeDpizwgEP{wSbMY^aHbYzwgk\ZyyqTNHuHbVWhFn^\UC^vhrmHbVWhY^b\UC^vgEQThrn\_TOu|zW[	1927101		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ekxH`@CPNMODimkg`ZYXtu}s|bbdTTTLTbabbVTUfalTRtQfTTRrt`@LB\rbfJNEuK[ZjjjZjjjjif`XJJ`XHjj`tPhpHHhhhdhTHBhrHJHYHUh@@ !BSk]{bP@^T`^wOaFHYl`tmQv{tBdm^Av{xJXY^JaymsyAmyzw|KjBp{ihZ\cBQJYWP[\xcRFw~JUHb_OSjGeDpizwgEP{wSbMY^aHbYzwgk\ZyyqTNHuHbVWhFn^\UC^vhrmHbVWhY^b\UC^vgEQThrn\_TOu|zW[	1927101		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fdiqb@JLtRR`RFQQQYIPiIIgJVjVjj`@@ !BwK_}]|C~_pG|u?pw`Oy@?hIw?K]|RLvxph`@ooqH@O{BJ@	454374		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fdiqb@JLtRR`RFQQQYIPiIIgJVjVjj`@@ !BwK_}]|C~_pG|u?pw`Oy@?hIw?K]|RLvxph`@ooqH@O{BJ@	454374		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fluib@DXXJQhiADYEDeEeCDdeSdeN}@DUUUTMcQCjOT@@ !Bb@K~@Ha}b@JH@ox@bOu`YV@ZKA`ZGvAeTv_~_rqgFEMeGsF?	467361		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fluib@DXXJQhiADYEDeEeCDdeSdeN}@DUUUTMcQCjOT@@ !Bb@K~@Ha}b@JH@ox@bOu`YV@ZKA`ZGvAeTv_~_rqgFEMeGsF?	467361		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fkaB@AuADILsJsNkjrr\GJRtaP@@@AUUP@HH` !BRGu~_pbBbKtw?Tc}_`A~_?z?BOs~_{]|R@Hw@|bCrGw~@Gz@?k~H`d`CBGqH@t`B?`AH_Xc|BGp	92984		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fkaB@AuADILsJsNkjrr\GJRtaP@@@AUUP@HH` !BRGu~_pbBbKtw?Tc}_`A~_?z?BOs~_{]|R@Hw@|bCrGw~@Gz@?k~H`d`CBGqH@t`B?`AH_Xc|BGp	92984		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fnkHB@FRUTDQdTRTrTRbRRRmNZLfnRpACUTEAPP@@ !B{tU[e@W_G?f_Q_Lx~U}?oo\mwTaSqp|Rwyx|jN~jnxo]RIwp^zl_fcsHgP`	2261		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fnkHB@FRUTDQdTRTrTRbRRRmNZLfnRpACUTEAPP@@ !B{tU[e@W_G?f_Q_Lx~U}?oo\mwTaSqp|Rwyx|jN~jnxo]RIwp^zl_fcsHgP`	2261		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ek`PF@@@KJnimlbbRfbTLVRbTlrThXTL|BRJZZjjZjjfijiaaBPr^PJIP@ !BExKW{_z@uxHW`ky`M{uW_Kx`Y?q~PN_]rFHgXe_|myvoi\|Z_bAcVI^B@ZCh`k^b@PCwhgx`E{t	487711		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ek`PF@@@KJnimlbbRfbTLVRbTlrThXTL|BRJZZjjZjjfijiaaBPr^PJIP@ !BExKW{_z@uxHW`ky`M{uW_Kx`Y?q~PN_]rFHgXe_|myvoi\|Z_bAcVI^B@ZCh`k^b@PCwhgx`E{t	487711		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gjmWPX@@DCCqtAJhpy}Qt`G@QI|qAduxBi\yEEEEMEEEEGihhmDhdiiimBXeEMMMCMheLihh]EEM\ii|mUUUSTuUUUMKUUUTsUUUMMUUSTuUQc@PPhdTQBLaAR`dQfh[TPRDMGdbAB` !BgmCks@AAQ}vntLIGhmbfCu]J{Z_DgIuXtOxpL^vOvzMqLL~Apd_BQu]JqIsmi}B~{Z_O`WDppd_O`^JXsxGBQ}txUtkPonvgtK{]NNvgtKyqLLIGtK{BQ~vgAHOBQ}B~{Z_O`\IGCd?PolIG^{smi}B~{Z_O`\IGsxGBQ}txtK{mi~vg\SCO`\IG^{sBQ|~A{Z_mi}B~{Z_]NLIGsxGbfNvgpd_mi}B~	72873		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gjmWPX@@DCCqtAJhpy}Qt`G@QI|qAduxBi\yEEEEMEEEEGihhmDhdiiimBXeEMMMCMheLihh]EEM\ii|mUUUSTuUUUMKUUUTsUUUMMUUSTuUQc@PPhdTQBLaAR`dQfh[TPRDMGdbAB` !BgmCks@AAQ}vntLIGhmbfCu]J{Z_DgIuXtOxpL^vOvzMqLL~Apd_BQu]JqIsmi}B~{Z_O`WDppd_O`^JXsxGBQ}txUtkPonvgtK{]NNvgtKyqLLIGtK{BQ~vgAHOBQ}B~{Z_O`\IGCd?PolIG^{smi}B~{Z_O`\IGsxGBQ}txtK{mi~vg\SCO`\IG^{sBQ|~A{Z_mi}B~{Z_]NLIGsxGbfNvgpd_mi}B~	72873		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
elVPND@AFnmkohPIAJPrJQRJJJHkKQKSYSSEQSsRqrKJjjjjfZjijfZfjiHD`lHPeIXoIeJh@@ !B_jSDK_zhvrvAezQRg`CDTimRVuK~ezRmVzuDK]lmq?eDdozWQ?j^RKvTiJvWSkzpe?y{RlSRz|KAZJmugjbDBe{hUMt	674496		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
elVPND@AFnmkohPIAJPrJQRJJJHkKQKSYSSEQSsRqrKJjjjjfZjijfZfjiHD`lHPeIXoIeJh@@ !B_jSDK_zhvrvAezQRg`CDTimRVuK~ezRmVzuDK]lmq?eDdozWQ?j^RKvTiJvWSkzpe?y{RlSRz|KAZJmugjbDBe{hUMt	674496		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
eh\ZLH@DLFMAeCG@HcHhddhhbCEDhhddeEbJAMEoc`YjjfZj`B@JA`@@@ !B`OylIvqXdAjPi\b}rHKH`oz??hCHo\b}rHJ}b\`BupK~pLc}M{vW@l`B@[?H`i^B?hB~pLa}RGvwo_x@rHIH@`	674357		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
eh\ZLH@DLFMAeCG@HcHhddhhbCEDhhddeEbJAMEoc`YjjfZj`B@JA`@@@ !B`OylIvqXdAjPi\b}rHKH`oz??hCHo\b}rHJ}b\`BupK~pLc}M{vW@l`B@[?H`i^B?hB~pLa}RGvwo_x@rHIH@`	674357		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fn}`R@DpqUhHaAYYeU}W[Sk^ZjB`bjfaAHz@@ !BoBxMmG~qHo`GHgC~[PR~lKmmDdQbNL]RVqImNFmmD`QWx`a~Q~uGxhFPZst	461730		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fn}`R@DpqUhHaAYYeU}W[Sk^ZjB`bjfaAHz@@ !BoBxMmG~qHo`GHgC~[PR~lKmmDdQbNL]RVqImNFmmD`QWx`a~Q~uGxhFPZst	461730		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fj}PA@FIADJBDfUnV]WzgEZ}F@HjBBJb@@@ !BuwtwPoy?MwwWoS\B_k|w@xE@mww~ow_|RGpw@s\C?h@wPda|@PAHoP	6216		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fj}PA@FIADJBDfUnV]WzgEZ}F@HjBBJb@@@ !BuwtwPoy?MwwWoS\B_k|w@xE@mww~ow_|RGpw@s\C?h@wPda|@PAHoP	6216		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
daZHaB`H`NJTEVjj`@ !BlSd@?`IH`O{FgpIHeEl	33341		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
daZHaB`H`NJTEVjj`@ !BlSd@?`IH`O{FgpIHeEl	33341		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcP@@@FrRJIJJKIIKXiQI\LyH\kwUU@D@PS@A@@`V@ !B]ww~HNc]ews~_~`bzLJwWWy`M{wHw^a]yxHg?Oz_?i?H`mz`JGwHo^bBzKw~G~bBzKwho^bB	66311		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcP@@@FrRJIJJKIIKXiQI\LyH\kwUU@D@PS@A@@`V@ !B]ww~HNc]ews~_~`bzLJwWWy`M{wHw^a]yxHg?Oz_?i?H`mz`JGwHo^bBzKw~G~bBzKwho^bB	66311		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ffs`@@@YIDmeEEEDhlZL]DI\ujjZ@HH@d@@@ !BrKtw?_z@?g?~o}^}_g~O{_AmNS~{ELX?QIPLay?EgzWsa~CEHBW[UHPT	11005		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ffs`@@@YIDmeEEEDhlZL]DI\ujjZ@HH@d@@@ !BrKtw?_z@?g?~o}^}_g~O{_AmNS~{ELX?QIPLay?EgzWsa~CEHBW[UHPT	11005		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fiw``@H@[dbTrRTRaRfbTnB\DZpXykRtuUUUUWUSAQRmORJr`@ !BKIcoFiNX?h@w_S\BMpHw_]]}MpI~@C^BM?tA`C^BmxHA`N|U{yi~@ENX_`@w_C\B	405364		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fiw``@H@[dbTrRTRaRfbTnB\DZpXykRtuUUUUWUSAQRmORJr`@ !BKIcoFiNX?h@w_S\BMpHw_]]}MpI~@C^BM?tA`C^BmxHA`N|U{yi~@ENX_`@w_C\B	405364		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcAR@AU[OXICHiEHhhhblXdicBkvkNbdmUUULuUMSUTJEBJLDDhTQxaIAZ@@ !B[`@?ebiomGaUDHlGJf~KAtBiPJeUDC~VmG`?ekQxvHrKApC^Dh}hXs~VMk}PCQ@jVDsvor\s	365281		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
